date,season_type,neutral,team_1,team_2,points_1,points_2,moneylines,game_url
01 Nov 2025,Play Offs,0,Toronto Blue Jays,Los Angeles Dodgers,4,5,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-los-angeles-dodgers-GdvpQQme/
31 Oct 2025,Play Offs,0,Toronto Blue Jays,Los Angeles Dodgers,1,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-los-angeles-dodgers-SGHjXzg4/
29 Oct 2025,Play Offs,0,Los Angeles Dodgers,Toronto Blue Jays,1,6,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-toronto-blue-jays-trho9PB6/
28 Oct 2025,Play Offs,0,Los Angeles Dodgers,Toronto Blue Jays,2,6,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-toronto-blue-jays-fBZgTpYA/
27 Oct 2025,Play Offs,0,Los Angeles Dodgers,Toronto Blue Jays,6,5,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-toronto-blue-jays-0CtoV63b/
25 Oct 2025,Play Offs,0,Toronto Blue Jays,Los Angeles Dodgers,1,5,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-los-angeles-dodgers-hnwwXSYo/
24 Oct 2025,Play Offs,0,Toronto Blue Jays,Los Angeles Dodgers,11,4,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-los-angeles-dodgers-n5QUSGMU/
20 Oct 2025,Play Offs,0,Toronto Blue Jays,Seattle Mariners,4,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-seattle-mariners-I1OkRbdB/
19 Oct 2025,Play Offs,0,Toronto Blue Jays,Seattle Mariners,6,2,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-seattle-mariners-rqbU6ZWN/
17 Oct 2025,Play Offs,0,Los Angeles Dodgers,Milwaukee Brewers,5,1,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-milwaukee-brewers-8W2lXuCj/
17 Oct 2025,Play Offs,0,Seattle Mariners,Toronto Blue Jays,6,2,[],https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-toronto-blue-jays-EFd7iqKE/
16 Oct 2025,Play Offs,0,Seattle Mariners,Toronto Blue Jays,2,8,[],https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-toronto-blue-jays-bybluIJs/
16 Oct 2025,Play Offs,0,Los Angeles Dodgers,Milwaukee Brewers,3,1,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-milwaukee-brewers-ObRHx2lT/
15 Oct 2025,Play Offs,0,Seattle Mariners,Toronto Blue Jays,4,13,[],https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-toronto-blue-jays-SlyHcQZ8/
14 Oct 2025,Play Offs,0,Milwaukee Brewers,Los Angeles Dodgers,1,5,[],https://www.oddsportal.com/baseball/usa/mlb-2025/milwaukee-brewers-los-angeles-dodgers-GYN9vOJG/
13 Oct 2025,Play Offs,0,Milwaukee Brewers,Los Angeles Dodgers,1,2,[],https://www.oddsportal.com/baseball/usa/mlb-2025/milwaukee-brewers-los-angeles-dodgers-dW78tpk4/
13 Oct 2025,Play Offs,0,Toronto Blue Jays,Seattle Mariners,3,10,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-seattle-mariners-CtgUZMs2/
12 Oct 2025,Play Offs,0,Toronto Blue Jays,Seattle Mariners,1,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-seattle-mariners-4GkMyqDk/
11 Oct 2025,Play Offs,0,Milwaukee Brewers,Chicago Cubs,3,1,[],https://www.oddsportal.com/baseball/usa/mlb-2025/milwaukee-brewers-chicago-cubs-0fZOGlUH/
10 Oct 2025,Play Offs,0,Seattle Mariners,Detroit Tigers,3,2,[],https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-detroit-tigers-4YvCVUiB/
09 Oct 2025,Play Offs,0,Chicago Cubs,Milwaukee Brewers,6,0,[],https://www.oddsportal.com/baseball/usa/mlb-2025/chicago-cubs-milwaukee-brewers-neeNo2a6/
09 Oct 2025,Play Offs,0,Los Angeles Dodgers,Philadelphia Phillies,2,1,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-philadelphia-phillies-dQE5buqC/
08 Oct 2025,Play Offs,0,Los Angeles Dodgers,Philadelphia Phillies,2,8,[],https://www.oddsportal.com/baseball/usa/mlb-2025/los-angeles-dodgers-philadelphia-phillies-A12sPw0m/
08 Oct 2025,Play Offs,0,New York Yankees,Toronto Blue Jays,2,5,[],https://www.oddsportal.com/baseball/usa/mlb-2025/new-york-yankees-toronto-blue-jays-nVZnHwx9/
08 Oct 2025,Play Offs,0,Chicago Cubs,Milwaukee Brewers,4,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/chicago-cubs-milwaukee-brewers-Agb4q59b/
08 Oct 2025,Play Offs,0,Detroit Tigers,Seattle Mariners,9,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/detroit-tigers-seattle-mariners-6eU9EM9r/
07 Oct 2025,Play Offs,0,New York Yankees,Toronto Blue Jays,9,6,[],https://www.oddsportal.com/baseball/usa/mlb-2025/new-york-yankees-toronto-blue-jays-v96U6a7M/
07 Oct 2025,Play Offs,0,Detroit Tigers,Seattle Mariners,4,8,[],https://www.oddsportal.com/baseball/usa/mlb-2025/detroit-tigers-seattle-mariners-SCyPd0RO/
06 Oct 2025,Play Offs,0,Milwaukee Brewers,Chicago Cubs,7,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/milwaukee-brewers-chicago-cubs-Ox0doRvn/
06 Oct 2025,Play Offs,0,Philadelphia Phillies,Los Angeles Dodgers,3,4,[],https://www.oddsportal.com/baseball/usa/mlb-2025/philadelphia-phillies-los-angeles-dodgers-vJBBUaxQ/
05 Oct 2025,Play Offs,0,Seattle Mariners,Detroit Tigers,3,2,[],https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-detroit-tigers-MFYGbMdC/
05 Oct 2025,Play Offs,0,Toronto Blue Jays,New York Yankees,13,7,[],https://www.oddsportal.com/baseball/usa/mlb-2025/toronto-blue-jays-new-york-yankees-IgIL8LxA/
04 Oct 2025,Play Offs,0,Seattle Mariners,Detroit Tigers,2,3,[],https://www.oddsportal.com/baseball/usa/mlb-2025/seattle-mariners-detroit-tigers-Qmu80rSa/
04 Oct 2025,Play Offs,0,Philadelphia Phillies,Los Angeles Dodgers,3,5,[],https://www.oddsportal.com/baseball/usa/mlb-2025/philadelphia-phillies-los-angeles-dodgers-bNYO6dpJ/
