date,season_type,neutral,team_1,team_2,points_1,points_2,moneyline_1,moneyline_2,game_url
17 Jun 2025,Play Offs,0,Florida Panthers,Edmonton Oilers,5,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-edmonton-oilers-SjSO2Qy9/
14 Jun 2025,Play Offs,0,Edmonton Oilers,Florida Panthers,2,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-florida-panthers-EBA5b2BC/
12 Jun 2025,Play Offs,0,Florida Panthers,Edmonton Oilers,4,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-edmonton-oilers-U5oHm7rB/
09 Jun 2025,Play Offs,0,Florida Panthers,Edmonton Oilers,6,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-edmonton-oilers-rkm9kTDb/
06 Jun 2025,Play Offs,0,Edmonton Oilers,Florida Panthers,4,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-florida-panthers-MZb0ikqn/
04 Jun 2025,Play Offs,0,Edmonton Oilers,Florida Panthers,4,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-florida-panthers-WAJjXobU/
29 May 2025,Play Offs,0,Dallas Stars,Edmonton Oilers,3,6,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-edmonton-oilers-4EnWqR46/
28 May 2025,Play Offs,0,Carolina Hurricanes,Florida Panthers,3,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-florida-panthers-OnibWz6e/
27 May 2025,Play Offs,0,Edmonton Oilers,Dallas Stars,4,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-dallas-stars-IVwjqDFM/
26 May 2025,Play Offs,0,Florida Panthers,Carolina Hurricanes,0,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-carolina-hurricanes-lUdsYJE5/
25 May 2025,Play Offs,0,Edmonton Oilers,Dallas Stars,6,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-dallas-stars-pIuroZpA/
24 May 2025,Play Offs,0,Florida Panthers,Carolina Hurricanes,6,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-carolina-hurricanes-t4gZZupg/
23 May 2025,Play Offs,0,Dallas Stars,Edmonton Oilers,0,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-edmonton-oilers-jJnZneGc/
22 May 2025,Play Offs,0,Carolina Hurricanes,Florida Panthers,0,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-florida-panthers-Kl5Qy2Ft/
21 May 2025,Play Offs,0,Dallas Stars,Edmonton Oilers,6,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-edmonton-oilers-OCfmPiOj/
20 May 2025,Play Offs,0,Carolina Hurricanes,Florida Panthers,2,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-florida-panthers-UPPGHbUO/
18 May 2025,Play Offs,0,Toronto Maple Leafs,Florida Panthers,1,6,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-florida-panthers-x6VpI7J7/
17 May 2025,Play Offs,0,Dallas Stars,Winnipeg Jets,2,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-winnipeg-jets-xWxJauME/
16 May 2025,Play Offs,0,Florida Panthers,Toronto Maple Leafs,0,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-toronto-maple-leafs-pW8Y2a4U/
15 May 2025,Play Offs,0,Winnipeg Jets,Dallas Stars,4,0,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-dallas-stars-jqnsM2cm/
15 May 2025,Play Offs,0,Washington Capitals,Carolina Hurricanes,1,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/washington-capitals-carolina-hurricanes-vBorB2NP/
14 May 2025,Play Offs,0,Vegas Golden Knights,Edmonton Oilers,0,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vegas-golden-knights-edmonton-oilers-MV6gTwqm/
14 May 2025,Play Offs,0,Toronto Maple Leafs,Florida Panthers,1,6,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-florida-panthers-rwPF5sD6/
13 May 2025,Play Offs,0,Dallas Stars,Winnipeg Jets,3,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-winnipeg-jets-CdPFUeog/
12 May 2025,Play Offs,0,Edmonton Oilers,Vegas Golden Knights,3,0,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-vegas-golden-knights-pp4aoq9c/
12 May 2025,Play Offs,0,Carolina Hurricanes,Washington Capitals,5,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-washington-capitals-bgVtT1gT/
11 May 2025,Play Offs,0,Florida Panthers,Toronto Maple Leafs,2,0,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-toronto-maple-leafs-WtvQWqf4/
11 May 2025,Play Offs,0,Dallas Stars,Winnipeg Jets,5,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-winnipeg-jets-hf9EWHGt/
10 May 2025,Play Offs,0,Edmonton Oilers,Vegas Golden Knights,3,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-vegas-golden-knights-UyMCNuHj/
10 May 2025,Play Offs,0,Carolina Hurricanes,Washington Capitals,4,0,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/carolina-hurricanes-washington-capitals-xvsYUNOG/
09 May 2025,Play Offs,0,Winnipeg Jets,Dallas Stars,4,0,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-dallas-stars-xrZ4CEVO/
09 May 2025,Play Offs,0,Florida Panthers,Toronto Maple Leafs,5,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/florida-panthers-toronto-maple-leafs-zFpHY5Pi/
08 May 2025,Play Offs,0,Vegas Golden Knights,Edmonton Oilers,4,5,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vegas-golden-knights-edmonton-oilers-CdiJfVPk/
08 May 2025,Play Offs,0,Washington Capitals,Carolina Hurricanes,3,1,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/washington-capitals-carolina-hurricanes-pn7v2DXF/
07 May 2025,Play Offs,0,Winnipeg Jets,Dallas Stars,2,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-dallas-stars-tGudEz1C/
07 May 2025,Play Offs,0,Toronto Maple Leafs,Florida Panthers,4,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-florida-panthers-CY8W3Z23/
06 May 2025,Play Offs,0,Vegas Golden Knights,Edmonton Oilers,2,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/vegas-golden-knights-edmonton-oilers-tE0m0i2S/
06 May 2025,Play Offs,0,Washington Capitals,Carolina Hurricanes,1,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/washington-capitals-carolina-hurricanes-GABRwPMa/
05 May 2025,Play Offs,0,Toronto Maple Leafs,Florida Panthers,5,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/toronto-maple-leafs-florida-panthers-OzFZy3iC/
04 May 2025,Play Offs,0,Winnipeg Jets,St. Louis Blues,4,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-st-louis-blues-GngA4hEl/
03 May 2025,Play Offs,0,Dallas Stars,Colorado Avalanche,4,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/dallas-stars-colorado-avalanche-vHtCE6q4/
02 May 2025,Play Offs,0,St. Louis Blues,Winnipeg Jets,5,2,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/st-louis-blues-winnipeg-jets-fwW3RXSs/
01 May 2025,Play Offs,0,Edmonton Oilers,Los Angeles Kings,6,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/edmonton-oilers-los-angeles-kings-6PokZhIb/
01 May 2025,Play Offs,0,Colorado Avalanche,Dallas Stars,7,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/colorado-avalanche-dallas-stars-K0Lf0p6F/
01 May 2025,Play Offs,0,Minnesota Wild,Vegas Golden Knights,2,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/minnesota-wild-vegas-golden-knights-OYDdu4IE/
01 May 2025,Play Offs,0,Ottawa Senators,Toronto Maple Leafs,2,4,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/ottawa-senators-toronto-maple-leafs-jTBQf4fo/
30 Apr 2025,Play Offs,0,Winnipeg Jets,St. Louis Blues,5,3,,,https://www.oddsportal.com/hockey/usa/nhl-2024-2025/winnipeg-jets-st-louis-blues-2FqRwixA/
