league,method,binary_accuracy
nba,ml_prob,0.6840853851844024
nfl,ml_prob,0.6657439446366782
nfl,elo_prob,0.6480968858131488
nba,massey_prob,0.6395963225192857
nba,od_prob,0.6394378104195287
nba,keener_prob,0.6392264609531861
nba,elopoint_prob,0.6317235548980239
nba,elowin_prob,0.6296628976011835
nfl,elopoint_prob,0.6294117647058823
nfl,keener_prob,0.6283737024221453
nfl,massey_prob,0.6238754325259516
nfl,elowin_prob,0.6207612456747404
nfl,od_prob,0.6166089965397924
nhl,ml_prob,0.5949108868370195
mlb,ml_prob,0.5797245562571471
nhl,massey_prob,0.5611445136353876
nhl,od_prob,0.5603929568391669
nhl,keener_prob,0.5600171784410565
mlb,od_prob,0.5524287774076468
mlb,massey_prob,0.5523044796897529
nhl,elowin_prob,0.5520721494524372
nhl,elopoint_prob,0.5501932574618853
mlb,keener_prob,0.5493213344602993
mlb,elopoint_prob,0.5410679659921444
mlb,elowin_prob,0.5382091184805847
