bin,mlb,nba,nfl,nhl
0,,0.125,0.0,
1,,0.15079365079365079,0.14035087719298245,
2,0.2717391304347826,0.24147339699863574,0.20652173913043478,0.2283464566929134
3,0.3623003194888179,0.33742911153119093,0.3244274809160305,0.37017310252996005
4,0.45606776989755715,0.4306969459671104,0.3894736842105263,0.43728976453628066
5,0.5511581733951025,0.5378432685867381,0.5773480662983426,0.5401911186059584
6,0.6424311926605505,0.6570018507094386,0.6516290726817042,0.6486949080017116
7,0.7461538461538462,0.753315649867374,0.7696335078534031,0.7651006711409396
8,0.6666666666666666,0.8510466988727858,0.8663101604278075,0.75
9,,0.9420289855072463,0.8,
