season,mlb,nba,nfl,nhl
2009,54.901,63.087,57.202,56.614
2010,55.684,59.365,57.087,56.013
2011,52.567,60.282,55.512,51.809
2012,52.847,58.544,56.863,55.637
2013,53.638,61.156,57.255,56.472
2014,52.978,57.980,60.000,53.621
2015,54.044,57.492,56.863,54.034
2016,52.926,58.862,53.906,52.927
2017,53.810,58.320,57.708,55.900
2018,52.601,57.886,56.641,56.344
2019,52.764,59.268,60.558,53.628
2020,55.415,55.146,51.984,53.327
2021,54.053,54.352,49.804,53.341
2022,53.262,54.390,51.301,53.659
2023,51.910,58.049,56.654,52.370
2024,52.183,54.255,55.805,54.116
2025,54.286,54.382,52.434,56.250
