season,ml_accuracy,bt_accuracy,home_bias_accuracy,coinflip_accuracy
2009,59.193954659949625,56.67506297229219,54.91183879093199,50.0
2010,57.833333333333336,54.666666666666664,55.833333333333336,50.0
2011,60.24896265560166,57.84232365145228,52.946058091286304,50.0
2012,58.42323651452282,57.75933609958506,54.522821576763484,50.0
2013,58.876961189099916,56.4822460776218,52.683732452518576,50.0
2014,58.70108243130724,55.87010824313072,55.120732722731056,50.0
2015,59.63302752293578,57.54795663052544,54.46205170975813,50.0
2016,58.15307820299501,53.161397670549086,54.326123128119804,50.0
2017,58.96580483736447,56.13010842368641,53.211009174311926,50.0
2018,58.88704318936877,57.72425249169435,54.2358803986711,50.0
2019,60.083333333333336,60.083333333333336,53.083333333333336,50.0
2020,59.21658986175115,57.6036866359447,56.45161290322581,50.0
2021,60.100586756077114,58.25649622799665,52.053646269907794,50.0
2022,60.95947063688999,59.05707196029777,54.83870967741935,50.0
2023,57.35660847880299,56.77472984206151,52.119700748129674,50.0
2024,57.024106400665005,54.69659185369908,51.12219451371571,50.0
2025,53.33889816360601,53.92320534223706,54.00667779632721,50.0
