season,ml_accuracy,bt_accuracy,home_bias_accuracy,coinflip_accuracy
2009,72.558,65.297,61.644,50
2010,71.048,65.902,56.066,50
2011,69.707,65.385,58.194,50
2012,68.247,64.766,58.452,50
2013,70.132,65.850,61.765,50
2014,71.264,66.450,58.795,50
2015,71.005,66.776,61.513,50
2016,71.405,68.152,58.746,50
2017,63.531,60.263,58.785,50
2018,71.195,66.069,58.075,50
2019,68.352,65.961,57.818,50
2020,64.639,62.738,53.422,50
2021,70.919,67.105,54.869,50
2022,70.425,64.437,54.160,50
2023,68.679,60.522,55.302,50
2024,70.346,64.648,50.409,50
2025,69.652,67.384,54.470,50
