season,ml_accuracy,bt_accuracy,home_bias_accuracy,coinflip_accuracy
2009,70.53571428571429,66.07142857142857,53.57142857142857,50.0
2010,72.22222222222223,57.142857142857146,57.93650793650794,50.0
2011,71.42857142857143,61.41732283464567,53.54330708661417,50.0
2012,66.14173228346456,63.77952755905512,54.330708661417326,50.0
2013,68.85245901639344,66.93548387096774,56.45161290322581,50.0
2014,69.91869918699187,58.53658536585366,57.72357723577236,50.0
2015,68.29268292682927,69.10569105691057,53.65853658536585,50.0
2016,59.2,58.4,48.8,50.0
2017,69.91869918699187,68.29268292682927,57.72357723577236,50.0
2018,78.4,68.0,60.0,50.0
2019,65.85365853658537,55.28455284552845,60.16260162601626,50.0
2020,66.11570247933884,63.63636363636363,52.892561983471076,50.0
2021,70.96774193548387,65.3225806451613,41.12903225806452,50.0
2022,67.16417910447761,61.19402985074627,49.25373134328358,50.0
2023,70.22900763358778,61.06870229007634,58.01526717557252,50.0
2024,69.91869918699187,57.72357723577236,55.28455284552845,50.0
2025,75.93984962406014,72.18045112781955,46.61654135338346,50.0
