season,ml_accuracy,bt_accuracy,home_bias_accuracy,coinflip_accuracy
2009,59.804,53.398,56.634,50
2010,58.735,54.992,57.610,50
2011,56.572,55.882,50.980,50
2012,58.086,54.812,55.465,50
2013,60.784,56.983,57.542,50
2014,57.705,56.098,53.333,50
2015,56.894,56.446,52.613,50
2016,59.024,55.195,51.623,50
2017,58.920,57.398,53.984,50
2018,61.709,60.348,55.134,50
2019,57.845,56.625,53.701,50
2020,56.192,54.898,52.126,50
2021,60.739,60.829,54.839,50
2022,64.122,61.738,51.829,50
2023,63.761,62.443,52.366,50
2024,61.948,58.295,54.947,50
2025,61.468,58.232,58.079,50
