season,ml_brier,bt_brier,home_bias_brier,coinflip_brier
2009,0.19116084993425134,0.22876104944422798,0.238099173553719,0.25
2010,0.19417182685977502,0.20721495591259462,0.25074670978947033,0.25
2011,0.1976795954040196,0.21947723353672657,0.24431738488321245,0.25
2012,0.20000239485177163,0.22116149580470648,0.24298745026017754,0.25
2013,0.19082376225622613,0.2127314093797485,0.2362474010420589,0.25
2014,0.1915652476892612,0.21237616362250009,0.2425304247259918,0.25
2015,0.19128730684495876,0.21788430285744706,0.2434216808666405,0.25
2016,0.19059522987852817,0.20277508865535446,0.24214687024919032,0.25
2017,0.2213106056037396,0.2362529225372335,0.24222594200160202,0.25
2018,0.18980520358661085,0.21213832611051453,0.2434820328446466,0.25
2019,0.19885217344091038,0.21772528027814017,0.24465511570414541,0.25
2020,0.21983266860576758,0.23080989592545526,0.25047761286007897,0.25
2021,0.19885333281672096,0.2158609790788105,0.24766803840877913,0.25
2022,0.2014284302523311,0.22456292194137123,0.24829791815090746,0.25
2023,0.2071504971741846,0.23013776985577192,0.25026373190561174,0.25
2024,0.1955458301264631,0.21339048795837975,0.25579521897876034,0.25
2025,0.19294234630309215,0.20873387119288275,0.247750626211642,0.25
