season,ml_brier,bt_brier,home_bias_brier,coinflip_brier
2009,0.196,0.242,0.253,0.250
2010,0.193,0.270,0.244,0.250
2011,0.208,0.243,0.250,0.250
2012,0.201,0.240,0.251,0.250
2013,0.198,0.230,0.246,0.250
2014,0.211,0.279,0.246,0.250
2015,0.203,0.224,0.252,0.250
2016,0.239,0.260,0.260,0.250
2017,0.209,0.214,0.244,0.250
2018,0.177,0.229,0.244,0.250
2019,0.216,0.280,0.240,0.250
2020,0.214,0.257,0.249,0.250
2021,0.199,0.235,0.250,0.250
2022,0.206,0.252,0.252,0.250
2023,0.190,0.252,0.244,0.250
2024,0.219,0.260,0.247,0.250
2025,0.178,0.204,0.249,0.250
