season,ml_brier,bt_brier,home_bias_brier,coinflip_brier
2009,0.241203014009463,0.2587662977358219,0.24562446337758406,0.25
2010,0.24100485280759756,0.25400359489295926,0.24524858908895456,0.25
2011,0.2395404262830046,0.2484477030578421,0.25030469756590173,0.25
2012,0.2414874487513988,0.25355957256543604,0.24706884463296383,0.25
2013,0.23716192454510124,0.25030035576444265,0.2444655811716734,0.25
2014,0.24438843864409268,0.24917437078767904,0.24900529448588316,0.25
2015,0.23842077169783576,0.24685707189007733,0.2501484791169833,0.25
2016,0.24038421267288737,0.24872797666772678,0.25030339083878644,0.25
2017,0.23636631327932744,0.244055366168277,0.24988282207302973,0.25
2018,0.23446908076291667,0.24191612498239592,0.24789403296829585,0.25
2019,0.23806545858943143,0.24560378088578963,0.2485893978445402,0.25
2020,0.24239503886756578,0.25107439221184197,0.250175112642594,0.25
2021,0.23038276991583223,0.23952574189984863,0.24862379023010212,0.25
2022,0.22801940469364038,0.23310173642417856,0.2509546035323998,0.25
2023,0.22695159050867275,0.231403635968955,0.24947628800418972,0.25
2024,0.22775431548570732,0.2347492792994983,0.24780404149315885,0.25
2025,0.22999975950044244,0.24451987733650488,0.24491812831420082,0.25
