season,ml_brier,elo_brier,home_bias_brier,coinflip_brier
2009,0.21258384714164702,0.2191373523081626,0.2448136293586682,0.25
2010,0.19563722569991504,0.20308322106944207,0.2449779899559799,0.25
2011,0.2181454204971306,0.2310262125887094,0.24696199392398788,0.25
2012,0.20219229234436964,0.21090993677818765,0.2455902099609375,0.25
2013,0.20783486072340543,0.21877366941113938,0.24473663975394078,0.25
2014,0.20343968088032077,0.2167886481027417,0.24000000000000002,0.25
2015,0.2077148233148453,0.2068549126656948,0.24529027297193387,0.25
2016,0.22939670244924715,0.2260909982606733,0.24847412109375,0.25
2017,0.22714555634252484,0.22047922050270544,0.2440594291427768,0.25
2018,0.21335199353163428,0.21655456622422556,0.2455902099609375,0.25
2019,0.2122648953771346,0.22253107344943157,0.23885335153410261,0.25
2020,0.211615655540247,0.22241563217100618,0.24960632401108593,0.25
2021,0.20109736011322762,0.2185096894327091,0.24999615532487504,0.25
2022,0.2164888623967116,,0.24983070991279835,0.25
2023,0.21087011044690077,,0.24557243852014632,0.25
2024,0.21785213128615502,,0.246629914853624,0.25
2025,0.1992673382312611,,0.2494073419461628,0.25
