season,n,favorite_roi,underdog_roi
2009,198,-0.26679087844729965,-14.905804743574746
2010,197,-10.704968883800161,-2.864682559389515
2011,166,-12.121598386712462,2.809186755012878
2012,190,-2.4227258145168045,-11.108252987639386
2013,198,-0.6350438457629473,-11.483523442569748
2014,144,-9.847421557892453,-6.25607209645834
2015,146,2.8321618954273564,-17.460829169195033
2016,164,-10.947984073188216,2.3103591510674932
2017,139,-4.380135011832782,-9.041284111549169
2018,195,-12.658727143674653,5.026873109949452
2019,182,-3.253504197764391,-7.487916485288087
2020,71,-11.08145660014054,8.527972469518591
2021,211,-5.357874713149838,1.480998535423989
2022,229,-0.6492393673818487,-3.6255997022657804
2023,185,-7.8365725777677016,9.979867988069122
2024,131,-12.914561852831849,13.955103683650213
2025,145,-11.568673382016836,10.31167659181833
