season,n,favorite_roi,underdog_roi
2009,21,7.390455159031878,-36.666666666666664
2010,84,-27.898051146891866,33.420596140520956
2011,68,4.4487429840149355,-18.251510619656184
2012,81,-5.012797958185091,-3.9066478857679456
2013,83,-8.030883058702313,10.086162833150784
2014,69,1.3506644588874654,-13.997750970441073
2015,70,3.328394710530673,-5.604046171973871
2016,88,5.062928273306209,-17.199046664120193
2017,92,-8.48138069865773,11.412217128339211
2018,108,-2.0275335535155663,-14.720870875157393
2019,91,-1.9356178121889813,-7.025222041416374
2020,74,-18.638204280282665,24.132397842387178
2021,96,-1.9197344275329475,-5.6653106861767135
2022,117,-3.230117277414775,-1.9102269063826973
2023,138,-10.40213862627543,9.595051127445544
2024,95,-23.16037406097784,25.120794622560904
2025,96,8.565783405275639,0.25053242058697883
