season,n,favorite_roi,underdog_roi
2009,15,-5.248848787601681,-15.324031007751937
2010,9,0.5183723310921244,-35.11111111111111
2011,17,-9.771852428685774,21.294117647058826
2012,8,-33.853804385781125,31.5
2013,11,-6.277036701958981,-25.09090909090909
2014,10,-5.194993187640246,11.428571428571429
2015,14,3.574700259452668,-36.49999999999999
2016,13,-54.60914553747717,111.3180693069307
2017,15,14.835474966966055,-26.46172839506173
2018,16,11.395372493084768,-40.210136545091636
2019,13,11.858610139667949,-64.43956043956044
2020,9,3.354363710458567,-60.55799755799755
2021,5,-24.78974358974359,32.17318435754189
2022,17,-9.072172237200247,-6.946524064171122
2023,15,10.044550908203513,-33.93333333333333
2024,16,-18.55384284272919,21.37392522647014
2025,12,4.491999103877363,-8.590737027870892
