season,n,favorite_roi,underdog_roi
2009,38,-31.02594993691678,17.13293620969646
2010,138,-9.510638682323263,-5.47478278067817
2011,190,8.981230361538142,-22.844512348328834
2012,164,-0.9101522275558608,-15.58646438430352
2013,83,-12.115101171773913,-4.035868855958801
2014,137,-1.6416338579774346,-7.216175320427574
2015,113,14.036421336004842,-18.537105709991188
2016,190,-2.008584212846284,-8.458445795187917
2017,146,-2.559523924125286,-8.369829315905495
2018,151,5.035524549773267,-15.051075690376937
2019,160,-3.5309137130918518,-6.188086142498485
2020,147,11.713073159224061,-20.31615211251019
2021,80,-4.743998104557031,0.31585358074130154
2022,126,-5.055479062570215,-6.025995211862806
2023,134,11.93898138948148,-13.470353889003928
2024,149,-19.313454415622463,12.610226155522216
2025,144,-15.474684534418753,5.269150171734674
