season,n,favorite_roi,underdog_roi
2009,300,-5.155932655932656,-7.133333333333333
2010,277,0.030952882938443872,-16.1913357400722
2011,254,-3.1580535517543376,-9.173228346456694
2012,259,-5.332880274965216,-8.127413127413128
2013,282,-5.0603910178378255,-8.652482269503547
2014,211,-2.7107404358589173,-12.146919431279622
2015,232,-2.9754727983974,-9.883620689655173
2016,293,-2.7862824983567194,-9.781569965870307
2017,270,-8.583809616010385,0.2333333333333324
2018,314,-7.2303847287213525,-3.0350318471337583
2019,260,-5.744232585776721,-6.907692307692308
2020,106,2.61766127012736,-15.216981132075471
2021,290,-9.488908733712757,7.958620689655173
2022,292,0.06037448452721324,-4.085616438356164
2023,269,-7.238121774246049,5.5910780669144975
2024,252,-8.934600349247768,10.19047619047619
2025,216,-5.388276773714053,3.9212962962962963
