season,n,favorite_roi,underdog_roi
2009,20,3.658969227225648,-17.454106172619575
2010,74,14.191150862305843,-29.13810963035171
2011,86,-4.678132219176215,-7.5323746593940335
2012,61,-5.453529685098571,-6.810076364451284
2013,74,-0.8237778821289032,-10.520603088170656
2014,87,-1.7557927287371573,-12.014484204515357
2015,70,-5.2272592781461915,-2.2428711518647013
2016,70,-7.093854050208631,-3.6823024345415436
2017,87,-7.192304807296951,-2.480577918286318
2018,87,-8.259039013611094,-0.27137748092717545
2019,67,-7.122469994499572,-1.898740723492881
2020,82,-7.247762372368919,-2.485460140023189
2021,86,13.263830818236302,-26.431520489091092
2022,83,8.267708795485625,-19.758781587900504
2023,93,1.1592380669324824,-11.12747079581573
2024,79,-8.733060716153876,-1.6332207749393768
2025,71,-6.351551228989373,-2.4203024388517544
