season,n,favorite_roi,underdog_roi
2009,11,3.642650599172339,-38.63636363636363
2010,10,-25.302594639951227,61.4
2011,7,-26.008737730567887,50.142857142857146
2012,14,-8.332637138296153,-5.071428571428575
2013,6,-13.320718237092263,14.666666666666664
2014,9,0.17399162234070414,-28.44444444444444
2015,13,-31.624727602128544,73.61538461538461
2016,8,-18.699986056884715,51.24999999999999
2017,5,28.96232140564972,-100.0
2018,14,11.78986815425084,-35.642857142857146
2019,9,-30.32559108761553,74.55555555555556
2020,10,29.0576018537089,-100.0
2021,21,10.696404973270488,-49.142857142857146
2022,15,3.1831695724949247,-18.200000000000003
2023,14,9.53192211349386,-50.642857142857146
2024,6,25.308896660213076,-100.0
2025,16,22.799460629225642,-75.125
