season,n,favorite_roi,underdog_roi
2009,50,2.4820456787496363,-22.400000000000002
2010,166,-2.5469492550659103,-15.43975903614458
2011,165,-5.890956191445317,-7.933333333333335
2012,144,-4.043008548199549,-11.798611111111112
2013,83,0.5689607707860416,-19.21686746987952
2014,175,-16.265178203294905,17.554285714285715
2015,134,-9.511446534402262,3.858208955223881
2016,138,3.6217710114750554,-17.333333333333336
2017,138,-0.5838543063724178,-10.731884057971016
2018,186,-0.6777136635392087,-11.413978494623656
2019,167,-2.1401185741579614,-8.323353293413174
2020,135,-4.38082398221166,-0.46666666666666723
2021,94,-0.39107576976079333,-7.329787234042554
2022,129,-11.347265391152426,13.573643410852712
2023,136,-7.788673643708766,8.051470588235293
2024,150,0.650634994261739,-13.173333333333334
2025,171,6.936403949952398,-20.50292397660819
