season,n,favorite_roi,underdog_roi
2008,154,-11.266498559917213,-3.2813665739682625
2009,204,2.1818728337379705,-15.031168685233299
2010,200,-8.208778666100292,-2.381031092209165
2011,160,-9.037342412957495,2.8500435069117103
2012,205,-2.981036692560949,-7.919273317957525
2013,216,2.8020209011931407,-12.52786380742951
2014,145,-12.69253373573723,1.8937161977520747
2015,148,1.9271514848189664,-11.66154065500844
2016,167,-12.779278971630998,8.135054084673056
2017,139,-3.4558575720255362,-4.391503793812079
2018,186,-10.638048729452093,5.637420995681257
2019,196,-1.0066790381972175,-7.233240953052967
2020,73,-2.052343545626798,0.8888650673173926
2021,215,-8.228593266550643,2.252622945326668
2022,230,-1.984949476215837,-6.11207349939213
2023,193,-9.082659555970197,8.181824416994793
2024,141,-15.666432984500588,11.73478479599682
2025,148,-11.831334519898741,5.197307713658452
