season,n,favorite_roi,underdog_roi
2009,29,-18.534824184970944,40.37931034482759
2010,72,5.018355366756408,-43.041666666666664
2011,70,-6.485094907024679,26.667796610169493
2012,61,-0.37178656378010555,-13.737704918032787
2013,76,5.704775883291093,-49.8421052631579
2014,77,1.5759788321983614,-16.50649350649351
2015,78,4.588155928996442,-29.884615384615383
2016,50,-2.7377386192603232,6.037604790419163
2017,75,-7.826541328757755,9.880000000000003
2018,82,-5.133446339017423,-9.695019471203118
2019,68,-3.0419300847637136,-4.205882352941175
2020,56,-8.536679474917602,12.947916666666664
2021,40,11.089459047341945,-45.35
2022,73,1.3987464470078697,-19.79889277195987
2023,60,-4.231056837628888,-16.766666666666666
2024,60,-8.99913304882418,0.8833333333333314
2025,65,-14.553154590903134,7.492658672126352
