season,n,favorite_roi,underdog_roi
2009,8,-14.503872059397317,-23.874999999999996
2010,24,3.909589345189997,-26.958333333333336
2011,11,13.362470970993959,-53.18181818181817
2012,12,6.087326694936454,-75.0
2013,7,6.004856178786357,-67.57142857142858
2014,10,-14.99221420718689,15.2
2015,12,8.41075696375139,-55.50000000000001
2016,15,-18.003276466238958,35.4
2017,5,97.24056572460205,-100.0
2018,8,-14.250983946238009,-55.497148288973385
2019,11,-14.367257790803652,27.81818181818182
2020,13,-27.539542670731006,150.3846153846154
2021,16,13.874511815001869,-71.31164965986395
2022,6,-23.503646497230655,36.666666666666664
2023,17,0.19176598393134092,-23.352941176470587
2024,6,-25.82972582972583,107.66666666666669
2025,19,5.994953968489069,-42.68421052631579
