season,n,favorite_roi,underdog_roi
2009,58,-9.643025987492345,10.706896551724137
2010,106,-0.7197854965040934,-13.933962264150942
2011,101,-6.3855229819680535,-2.7430047352561346
2012,102,-5.228583490596392,-2.549019607843138
2013,53,15.153171183782927,-34.90566037735849
2014,109,-15.318976432811887,17.628054531424162
2015,87,-13.542547354552106,10.225246843760049
2016,96,-20.40452916756722,24.022988505747126
2017,111,-2.8787459084798144,-4.603603603603603
2018,95,6.006542424978521,-21.6
2019,116,-11.088037342558856,10.04344151453685
2020,77,-1.8094716186292437,-6.5064935064935066
2021,70,-6.658537023599807,3.701729418122862
2022,103,-3.420348534007911,3.1945554920997528
2023,105,-0.48163954590815683,-6.2744081603719355
2024,125,-1.3589066852203455,-12.459863269020989
2025,124,-2.8755920704952693,-8.802758516731986
