season,n,favorite_roi,underdog_roi
2009,21,6.086692094941393,-23.952380952380953
2010,76,9.99268685784382,-31.13157894736842
2011,70,1.8519046119624665,-15.371428571428572
2012,49,0.8966526347181011,-11.081632653061225
2013,63,-10.44832361458701,4.222222222222221
2014,77,1.0659357293085658,-11.805194805194805
2015,66,-17.382576765386517,19.803030303030305
2016,60,-3.525079064668315,-6.0166666666666675
2017,58,-20.850464908662985,24.51724137931034
2018,64,9.199147469861213,-26.187499999999996
2019,65,-8.883078309324684,3.784615384615385
2020,68,-12.377062061826855,13.720588235294118
2021,64,-4.757629352137285,-0.6406249999999992
2022,70,9.204213881978191,-27.142857142857142
2023,67,-5.853074554176164,2.5970149253731347
2024,60,15.978589383521522,-39.8
2025,83,-9.041785782766471,5.397590361445783
