season,favorite_roi,underdog_roi
2009,0.09000900090009001,-1.0
2010,0.003115162810717583,-0.24187499999999995
2011,0.11001100110011001,-1.0
2012,-0.2750070949702599,1.2375
2013,0.1624810355796995,-1.0
2014,0.1699650422704749,-1.0
2015,0.1400560224089636,-1.0
2016,-0.42997198879551823,1.71
2017,-0.21327263478268368,0.7233333333333333
2018,-0.21000993881700725,0.6333333333333333
2019,0.12252625982886403,-1.0
2020,-0.016276591459347248,-0.39625
2021,-0.0271088411345841,0.08142857142857148
2022,-0.33082465589738524,1.7558333333333334
2023,-0.3279803935977392,1.256
2024,-0.0532934846105659,-0.06166666666666668
2025,0.14992503748125938,-1.0
