season,n,favorite_roi,underdog_roi
2009,60,-7.104592717776281,-1.261815686776624
2010,138,-5.188816700756421,-3.0551555925147666
2011,131,1.873009942006953,-13.460787340213063
2012,159,-1.4508395949351598,-7.204496608775044
2013,84,-5.579683580681687,-1.3867757337366287
2014,141,4.1507630425594,-11.373285381370684
2015,119,-8.582240741986311,2.0740546443903143
2016,164,9.43173896290023,-19.69391657972526
2017,133,-4.884531303801228,-0.7379878224643139
2018,144,10.148839213342058,-21.464349213120112
2019,145,-7.71394999855783,2.192152877563484
2020,139,-3.2870949534267715,-3.1555408371509186
2021,112,-3.5636734072104166,-5.5871125648566276
2022,120,8.725221938702978,-17.893959186067217
2023,130,4.0195488508313195,-11.966585957677824
2024,150,-3.176719867067495,-4.487729481265259
2025,159,-11.695133307707358,5.586221685744449
