season,mlb,nba,nfl,nhl
2008,57.208,,,
2009,54.946,64.545,61.983,57.143
2010,56.183,62.643,56.693,54.262
2011,52.401,62.023,57.480,52.864
2012,52.023,58.788,59.375,56.209
2013,54.950,60.586,58.268,56.303
2014,50.992,57.166,62.205,54.072
2015,53.853,53.257,59.055,55.672
2016,51.941,58.862,58.594,54.146
2017,54.463,57.749,57.937,57.818
2018,51.363,57.912,53.906,57.437
2019,52.858,60.586,60.800,53.312
2020,53.226,57.089,49.206,54.630
2021,55.732,53.704,51.181,51.732
2022,51.650,54.560,47.761,55.420
2023,52.199,60.813,55.725,52.446
2024,53.350,58.033,55.639,53.201
2025,54.402,53.859,51.880,54.351
